Namespace(model='mobileVitV2', dataset='imagenet_1k', sign_type='polyfit', data_collection=False, working_directory='/home/jianming/work/SmartPAF/cvnet_work/')
2024-01-22 08:13:17 - [93m[1mDEBUG   [0m - Cannot load internal arguments, skipping.
Results: loss=1.37407,	 top1=70.7000,	 top5=88.8000
polyfit
end point: 39.73949432373047
coef: tensor([[ 6.6081e-02, -1.5038e-04,  1.4726e-07, -4.7340e-11]],
       dtype=torch.float64)
name:  conv_1.block.act
conv_1.block.act_input.pt
Epoch:1 Train Loss:14477521562573938.0000000000 Val Loss: 6596813410795520.0000000000
Epoch:2 Train Loss:1604586054889472.0000000000 Val Loss: 804688362471424.0000000000
Epoch:3 Train Loss:140894709845560.8750000000 Val Loss: 33172387528704.0000000000
Epoch:4 Train Loss:9899092082688.0000000000 Val Loss: 2542051000320.0000000000
Epoch:5 Train Loss:1067887883672.8889160156 Val Loss: 277289926656.0000000000
Epoch:6 Train Loss:45061690837.3333358765 Val Loss: 8652619008.0000000000
Epoch:7 Train Loss:7852823470.2222223282 Val Loss: 1766148352.0000000000
Epoch:8 Train Loss:3021012016.0000000000 Val Loss: 1525992768.0000000000
Epoch:9 Train Loss:1873541548.4444444180 Val Loss: 449614432.0000000000
Epoch:10 Train Loss:1430655816.8888888359 Val Loss: 662446784.0000000000
Epoch:11 Train Loss:2143218922.6666667461 Val Loss: 2188588864.0000000000
Epoch:12 Train Loss:5476439272.8888893127 Val Loss: 9506266112.0000000000
Epoch:13 Train Loss:5437631125.3333330154 Val Loss: 2765933952.0000000000
Epoch:14 Train Loss:2740762152.8888888359 Val Loss: 1183168512.0000000000
Epoch:15 Train Loss:1375914574.2222223282 Val Loss: 695170400.0000000000
Epoch:16 Train Loss:804922280.8888888359 Val Loss: 412202384.0000000000
Epoch:17 Train Loss:501938231.1111111045 Val Loss: 430057840.0000000000
Epoch:18 Train Loss:514143285.3333333135 Val Loss: 405898640.0000000000
Epoch:19 Train Loss:504907891.5555555820 Val Loss: 404587808.0000000000
Epoch:20 Train Loss:502322234.6666666865 Val Loss: 406440320.0000000000
Epoch:21 Train Loss:503290558.2222222090 Val Loss: 406068160.0000000000
Epoch:22 Train Loss:503252888.8888888955 Val Loss: 405805744.0000000000
Epoch:23 Train Loss:503036268.4444444180 Val Loss: 405896864.0000000000
Epoch:24 Train Loss:503041800.8888888955 Val Loss: 405857552.0000000000
Epoch:25 Train Loss:503002961.7777777910 Val Loss: 405806784.0000000000
Epoch:26 Train Loss:502942023.1111111045 Val Loss: 405778272.0000000000
